Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
silla,0.8662524819374084,538,211,639,470,1743563644.303496
silla,0.3159664571285248,198,173,547,478,1743563644.3038735
silla,0.8159047365188599,541,210,639,470,1743563644.6516693
silla,0.3436286449432373,199,172,547,478,1743563644.6520512
silla,0.8549467921257019,535,210,639,469,1743563645.0012636
silla,0.34152108430862427,200,171,550,478,1743563645.0016584
silla,0.8588965535163879,537,210,639,470,1743563645.345041
silla,0.3834664821624756,200,172,547,478,1743563645.3454378
silla,0.2563714385032654,0,248,188,443,1743563645.3458095
silla,0.7757976055145264,546,210,639,469,1743563645.6870568
silla,0.30934858322143555,200,172,549,478,1743563645.6874294
silla,0.8605165481567383,534,210,639,472,1743563646.0334623
silla,0.8049831390380859,534,210,639,469,1743563646.3855796
silla,0.8200058341026306,535,211,639,470,1743563646.7310123
silla,0.8703017830848694,537,210,639,472,1743563647.0736804
silla,0.2744629681110382,200,172,548,478,1743563647.073962
silla,0.8536381125450134,533,210,639,471,1743563647.452739
silla,0.3809109032154083,198,172,547,478,1743563647.45313
silla,0.8329997062683105,544,210,639,472,1743563647.8270981
silla,0.44026151299476624,200,172,547,478,1743563647.827434
silla,0.8585240840911865,534,209,639,472,1743563648.174565
silla,0.33839452266693115,199,171,548,479,1743563648.1749635
silla,0.40131962299346924,565,211,639,353,1743563648.5207732
persona,0.37283021211624146,293,362,639,479,1743563648.521132
silla,0.28625255823135376,527,210,640,358,1743563648.5215023
silla,0.26367872953414917,199,172,550,464,1743563648.521834
silla,0.8346128463745117,536,210,639,470,1743563648.8683455
silla,0.3491179347038269,200,172,547,478,1743563648.8687305
silla,0.8529074788093567,536,210,639,469,1743563649.211356
silla,0.3743475079536438,199,172,549,478,1743563649.211749
silla,0.8496355414390564,542,211,639,468,1743563649.5584466
silla,0.32356977462768555,200,172,549,478,1743563649.5587506
silla,0.3879795968532562,571,211,639,302,1743563649.8983986
silla,0.7733916640281677,571,212,639,327,1743563650.2419083
train,0.3156653344631195,3,66,637,480,1743563650.2421417
persona,0.6298964619636536,381,230,639,478,1743563650.5906825
tennis racket,0.49064645171165466,421,180,541,320,1743563650.5910196
silla,0.3873789608478546,566,211,639,340,1743563650.5914369
silla,0.2703324854373932,540,211,639,352,1743563650.5917745
silla,0.6488532423973083,569,212,639,336,1743563650.943543
persona,0.629322350025177,365,210,639,477,1743563650.9439027
persona,0.28563445806503296,36,46,620,477,1743563650.9443104
persona,0.8275768160820007,340,214,639,475,1743563651.2863889
silla,0.4996694028377533,566,212,639,344,1743563651.2871156
persona,0.8053821921348572,310,215,639,472,1743563651.6334026
silla,0.5442094206809998,562,211,639,339,1743563651.6338573
silla,0.4895801246166229,352,174,542,325,1743563651.634179
persona,0.8224025368690491,305,209,639,473,1743563652.0186281
silla,0.5063725709915161,567,212,639,332,1743563652.0190716
silla,0.4991863965988159,344,174,542,321,1743563652.0193856
silla,0.3034612238407135,537,211,639,335,1743563652.0197172
persona,0.7251273393630981,296,208,639,473,1743563652.3675306
silla,0.6734300255775452,569,211,639,331,1743563652.367945
silla,0.450114905834198,341,174,541,320,1743563652.368267
silla,0.35088232159614563,535,211,640,332,1743563652.3685894
persona,0.8172382116317749,304,208,639,472,1743563652.7167969
silla,0.6008039712905884,568,212,639,331,1743563652.7172503
silla,0.33226877450942993,345,175,542,317,1743563652.7176087
silla,0.31121429800987244,538,211,639,333,1743563652.717945
persona,0.729853630065918,301,205,638,472,1743563653.0647209
silla,0.6531735062599182,569,211,639,331,1743563653.0650167
silla,0.4328433573246002,341,174,542,319,1743563653.0652452
silla,0.3183540999889374,532,211,640,332,1743563653.0654643
persona,0.7453127503395081,304,202,638,473,1743563653.4127831
silla,0.7069881558418274,569,212,639,333,1743563653.4132202
silla,0.5576156973838806,342,174,542,318,1743563653.4135246
silla,0.33114129304885864,534,211,640,332,1743563653.4139082
persona,0.7692450881004333,311,200,639,475,1743563653.7640502
silla,0.6293741464614868,570,212,639,332,1743563653.7644827
silla,0.34832924604415894,353,175,542,317,1743563653.7648256
persona,0.7368203997612,304,195,639,473,1743563654.1231563
silla,0.636509358882904,349,174,540,316,1743563654.1235995
silla,0.609616219997406,569,212,639,332,1743563654.1239574
silla,0.3789912164211273,536,211,640,332,1743563654.124298
persona,0.7573029398918152,297,199,639,471,1743563654.486125
silla,0.5931349992752075,568,211,639,330,1743563654.486785
silla,0.5525205135345459,338,175,544,314,1743563654.4872887
silla,0.3159588575363159,536,211,639,331,1743563654.4876685
persona,0.680641770362854,286,185,638,464,1743563654.8479812
silla,0.6638178825378418,568,211,639,324,1743563654.8484561
silla,0.3984917402267456,536,210,640,325,1743563654.8488014
silla,0.3672620952129364,330,174,540,309,1743563654.8490908
silla,0.8027010560035706,570,211,639,321,1743563655.1943738
persona,0.7523009181022644,286,174,639,472,1743563655.1947343
silla,0.3684771656990051,339,174,541,307,1743563655.1951258
persona,0.7429808974266052,378,204,639,476,1743563655.5618682
silla,0.47830528020858765,570,212,639,333,1743563655.5622933
refrigerator,0.2891572415828705,63,45,455,471,1743563655.5626252
laptop,0.2726576328277588,70,45,450,476,1743563655.5630858
persona,0.6600703001022339,377,223,639,474,1743563655.913795
silla,0.5271744728088379,569,212,639,350,1743563655.9142363
silla,0.68020099401474,568,212,639,339,1743563656.2672718
persona,0.6761975288391113,373,220,639,478,1743563656.2676435
silla,0.35945186018943787,417,178,540,323,1743563656.2680588
persona,0.6878893375396729,375,222,639,475,1743563656.617785
silla,0.48707911372184753,567,212,639,347,1743563656.6182234
silla,0.252193808555603,534,211,640,352,1743563656.6184978
persona,0.695190966129303,373,216,639,474,1743563656.9800766
silla,0.5734707713127136,569,212,639,349,1743563656.980508
persona,0.6723757386207581,376,219,639,476,1743563657.3316379
silla,0.4793090522289276,568,212,639,342,1743563657.3320866
silla,0.7914565205574036,569,212,639,326,1743563657.6848092
perro,0.6575650572776794,392,194,639,479,1743563657.6851654
persona,0.5969820618629456,393,193,639,478,1743563657.685557
silla,0.264186829328537,565,211,639,363,1743563658.0445292
silla,0.8262624740600586,540,211,639,470,1743563658.394516
silla,0.3119506239891052,199,173,547,479,1743563658.394796
silla,0.4074814021587372,536,212,639,443,1743563658.7839735
silla,0.28947532176971436,198,169,561,479,1743563658.7843351
silla,0.6151386499404907,256,173,550,389,1743563659.1425576
persona,0.37698179483413696,212,280,639,479,1743563659.1429834
persona,0.28896814584732056,207,178,640,479,1743563659.1434264
persona,0.6291264891624451,196,184,638,478,1743563659.509269
silla,0.588129460811615,568,212,639,352,1743563659.5100236
persona,0.659198522567749,194,163,639,475,1743563659.8701491
silla,0.6546277403831482,569,212,639,332,1743563659.870635
silla,0.2638857066631317,0,333,144,438,1743563659.8709924
persona,0.7351670861244202,204,170,640,471,1743563660.2300534
silla,0.5765538215637207,567,211,639,340,1743563660.2303557
silla,0.34204503893852234,543,210,639,349,1743563660.2306285
telefono celular,0.3216690123081207,113,71,546,311,1743563660.2308667
silla,0.29099157452583313,196,180,569,479,1743563660.2311776
persona,0.736854612827301,206,179,640,475,1743563660.5884316
silla,0.5472010970115662,565,212,639,344,1743563660.5888746
silla,0.39213821291923523,536,211,639,352,1743563660.5892324
telefono celular,0.35420626401901245,97,76,548,317,1743563660.5895908
silla,0.2990262508392334,197,186,589,479,1743563660.5900834
persona,0.7371591925621033,207,176,640,472,1743563660.9484658
silla,0.520292341709137,569,212,639,329,1743563660.9487557
silla,0.342651903629303,196,193,584,479,1743563660.948974
silla,0.309033066034317,535,210,639,348,1743563660.9492147
telefono celular,0.28556469082832336,95,76,542,318,1743563660.9498386
persona,0.7266703844070435,214,171,640,475,1743563661.3046381
silla,0.5009517073631287,565,212,639,344,1743563661.305059
silla,0.4198337197303772,537,211,639,351,1743563661.3053865
telefono celular,0.3827321231365204,110,70,569,318,1743563661.3056421
silla,0.25217205286026,197,249,541,479,1743563661.305949
persona,0.7863073348999023,209,166,639,475,1743563661.6612418
silla,0.5576320290565491,569,212,639,331,1743563661.6615667
silla,0.3476523756980896,536,210,639,349,1743563661.6618018
telefono celular,0.2719685435295105,110,68,563,311,1743563661.6620328
persona,0.8180994987487793,214,167,639,473,1743563662.030026
silla,0.6260626316070557,569,212,639,331,1743563662.0304782
persona,0.8141772150993347,212,166,639,473,1743563662.3979528
silla,0.5059075355529785,568,212,639,332,1743563662.398428
silla,0.34563976526260376,356,173,540,312,1743563662.39877
silla,0.27098366618156433,543,211,639,348,1743563662.3991277
persona,0.7799393534660339,216,171,640,473,1743563662.753627
silla,0.48131951689720154,562,211,639,340,1743563662.7540677
silla,0.3873458504676819,536,211,639,351,1743563662.7544024
silla,0.28098157048225403,196,164,621,479,1743563662.7547429
